id,population2018,name,continent,population2019
211,2866376,Albania                                                     ,Europe         ,2880913
212,42228429,Algeria                                                     ,Africa         ,43053054
213,77006,Andorra                                                     ,Europe         ,77146
214,30809762,Angola                                                      ,Africa         ,31825299
216,96286,Antigua_and_Barbuda                                         ,America        ,97115
217,44494502,Argentina                                                   ,America        ,44780675
218,2951776,Armenia                                                     ,Europe         ,2957728
219,105845,Aruba                                                       ,America        ,106031
220,24992369,Australia                                                   ,Oceania        ,25203200
221,8847037,Austria                                                     ,Europe         ,8858775
222,9942334,Azerbaijan                                                  ,Europe         ,10047719
223,385640,Bahamas                                                     ,America        ,389486
224,1569439,Bahrain                                                     ,Asia           ,1641164
226,286641,Barbados                                                    ,America        ,287021
227,9485386,Belarus                                                     ,Europe         ,9452409
228,11422068,Belgium                                                     ,Europe         ,11455519
229,383071,Belize                                                      ,America        ,390351
230,11485048,Benin                                                       ,Africa         ,11801151
231,63968,Bermuda                                                     ,America        ,62508
232,754394,Bhutan                                                      ,Asia           ,763094
233,11353142,Bolivia                                                     ,America        ,11513102
234,0,"Bonaire, Saint Eustatius and Saba                           ",America        ,25983
236,2254126,Botswana                                                    ,Africa         ,2303703
237,209469333,Brazil                                                      ,America        ,211049519
238,29802,British_Virgin_Islands                                      ,America        ,30033
239,428962,Brunei_Darussalam                                           ,Asia           ,433296
240,7024216,Bulgaria                                                    ,Europe         ,7000039
241,19751535,Burkina_Faso                                                ,Africa         ,20321383
242,11175378,Burundi                                                     ,Africa         ,11530577
243,16249798,Cambodia                                                    ,Asia           ,16486542
244,25216237,Cameroon                                                    ,Africa         ,25876387
245,37058856,Canada                                                      ,America        ,37411038
247,3000,Cases_on_an_international_conveyance_Japan                  ,Other          ,0
248,64174,Cayman_Islands                                              ,America        ,64948
249,4666377,Central_African_Republic                                    ,Africa         ,4745179
250,15477751,Chad                                                        ,Africa         ,15946882
251,18729160,Chile                                                       ,America        ,18952035
252,1392730000,China                                                       ,Asia           ,1433783692
253,49648685,Colombia                                                    ,America        ,50339443
254,832322,Comoros                                                     ,Africa         ,850891
255,5244363,Congo                                                       ,Africa         ,5380504
257,25069229,Cote_dIvoire                                                ,Africa         ,25716554
258,4089400,Croatia                                                     ,Europe         ,4076246
259,11338138,Cuba                                                        ,America        ,11333484
260,159849,Curaçao                                                     ,America        ,163423
261,1189265,Cyprus                                                      ,Europe         ,875899
262,10625695,Czechia                                                     ,Europe         ,10649800
263,84068091,Democratic_Republic_of_the_Congo                            ,Africa         ,86790568
264,5797446,Denmark                                                     ,Europe         ,5806081
265,958920,Djibouti                                                    ,Africa         ,973557
267,10627165,Dominican_Republic                                          ,America        ,10738957
268,17084357,Ecuador                                                     ,America        ,17373657
269,98423595,Egypt                                                       ,Africa         ,100388076
270,6420744,El_Salvador                                                 ,America        ,6453055
271,1308974,Equatorial_Guinea                                           ,Africa         ,1355982
272,0,Eritrea                                                     ,Africa         ,3497117
273,1320884,Estonia                                                     ,Europe         ,1324820
274,1367000,Eswatini                                                    ,Africa         ,1148133
275,109224559,Ethiopia                                                    ,Africa         ,112078727
276,0,Falkland_Islands_(Malvinas)                                 ,America        ,3372
278,883483,Fiji                                                        ,Oceania        ,889955
279,5518050,Finland                                                     ,Europe         ,5517919
210,37172386,Afghanistan                                                 ,Asia           ,38041757
