id,countryid,recorddate,cases,deaths
6358,210,2020-06-14,5,556
6359,210,2020-06-13,20,656
6360,210,2020-06-12,21,747
6361,210,2020-06-11,21,684
6362,210,2020-06-10,15,542
6363,210,2020-06-09,12,575
6364,210,2020-06-08,30,791
6365,210,2020-06-07,18,582
6366,210,2020-06-06,9,915
6367,210,2020-06-05,6,787
6368,210,2020-06-04,24,758
6369,210,2020-06-03,5,759
6370,210,2020-06-02,8,545
6371,210,2020-06-01,8,680
6372,210,2020-05-31,3,866
6373,210,2020-05-30,11,623
6374,210,2020-05-29,8,580
6375,210,2020-05-28,7,625
6376,210,2020-05-27,1,658
6377,210,2020-05-26,1,591
6378,210,2020-05-25,2,584
6379,210,2020-05-24,11,782
6380,210,2020-05-23,12,540
6381,210,2020-05-22,6,531
6382,210,2020-05-21,9,492
6383,210,2020-05-20,5,581
6384,210,2020-05-19,4,408
6385,210,2020-05-18,1,262
6386,210,2020-05-17,0,0
6387,210,2020-05-16,32,1063
6388,210,2020-05-15,6,113
6389,210,2020-05-14,3,259
6390,210,2020-05-13,5,280
6391,210,2020-05-12,2,285
6392,210,2020-05-11,5,369
6393,210,2020-05-10,6,255
6394,210,2020-05-09,3,215
6395,210,2020-05-08,2,171
6396,210,2020-05-07,9,168
6397,210,2020-05-06,5,330
6398,210,2020-05-05,5,190
6399,210,2020-05-04,13,235
6400,210,2020-05-03,4,134
6401,210,2020-05-02,4,164
6402,210,2020-05-01,4,222
6403,210,2020-04-30,0,122
6404,210,2020-04-29,3,124
6405,210,2020-04-28,0,172
6406,210,2020-04-27,10,68
6407,210,2020-04-26,4,112
6408,210,2020-04-25,1,70
6409,210,2020-04-24,2,105
6410,210,2020-04-23,4,84
6411,210,2020-04-22,1,61
6412,210,2020-04-21,2,35
6413,210,2020-04-20,3,88
6414,210,2020-04-19,0,63
6415,210,2020-04-18,1,51
6416,210,2020-04-17,4,10
6417,210,2020-04-16,2,70
6418,210,2020-04-15,2,49
6419,210,2020-04-14,3,58
6420,210,2020-04-13,0,52
